case_id,pattern_id,primary_transaction_id,ml_pattern,risk_score,total_amount,num_transactions,date_detected,status,priority,assignee,notes,last_updated,resolution,date_closed,resolution_notes
CASE-0001,CASINO-1,CASINO-1-3,Casino-Investment,0.8395314533938191,49620.64098321634,7,2025-04-01 12:36:11.052936,Under Investigation,Medium,Michael Chen,,2025-04-03 12:36:11.052936,,,
CASE-0002,CASINO-10,CASINO-10-1,Casino-Investment,0.8417314829032669,54583.34436903069,7,2025-03-20 12:36:11.074797,Under Investigation,Low,John Smith,,2025-03-22 12:36:11.074797,,,
CASE-0003,CASINO-11,CASINO-11-2,Casino-Investment,0.7299555095347774,29968.358513621566,4,2025-03-19 12:36:11.076800,Under Investigation,Low,Michael Chen,,2025-03-21 12:36:11.076800,,,
CASE-0004,CASINO-12,CASINO-12-4,Casino-Investment,0.8423690809053669,46143.526929712185,6,2025-03-14 12:36:11.077796,New,Medium,John Smith,,2025-03-16 12:36:11.077796,,,
CASE-0005,CASINO-13,CASINO-13-1,Casino-Investment,0.8330853811351239,40206.647170645185,5,2025-03-14 12:36:11.078796,Under Investigation,High,John Smith,,2025-03-16 12:36:11.078796,,,
CASE-0006,CASINO-14,CASINO-14-6,Casino-Investment,0.8050074853086387,51866.162744213245,6,2025-03-10 12:36:11.079795,Under Investigation,Low,John Smith,,2025-03-12 12:36:11.079795,,,
CASE-0007,CASINO-15,CASINO-15-3,Casino-Investment,0.8248879970800765,31492.8129516162,4,2025-04-05 12:36:11.080285,New,Medium,John Smith,,2025-04-07 12:36:11.080285,,,
CASE-0008,CASINO-16,CASINO-16-4,Casino-Investment,0.8479656980822032,33233.36178430223,4,2025-04-05 12:36:11.082287,Pending Review,Medium,Emma Wilson,,2025-04-07 12:36:11.082287,,,
CASE-0009,CASINO-17,CASINO-17-6,Casino-Investment,0.8458108014533585,52330.14570871055,7,2025-03-25 12:36:11.083285,Under Investigation,Low,John Smith,,2025-03-27 12:36:11.083285,,,
CASE-0010,CASINO-18,CASINO-18-5,Casino-Investment,0.7934521702953261,35614.214200673116,5,2025-04-04 12:36:11.084287,Pending Review,Medium,John Smith,,2025-04-06 12:36:11.084287,,,
CASE-0011,CASINO-19,CASINO-19-1,Casino-Investment,0.8188946535027695,59672.06969526805,7,2025-03-26 12:36:11.085286,New,High,Unassigned,,2025-03-28 12:36:11.085286,,,
CASE-0012,CASINO-2,CASINO-2-4,Casino-Investment,0.7789940970121383,45514.299361483296,5,2025-03-14 12:36:11.086284,Pending Review,Low,Emma Wilson,,2025-03-16 12:36:11.086284,,,
CASE-0013,CASINO-20,CASINO-20-1,Casino-Investment,0.8071626938378276,38544.26863021886,5,2025-04-01 12:36:11.087284,Under Investigation,Low,Unassigned,,2025-04-03 12:36:11.087284,,,
CASE-0014,CASINO-21,CASINO-21-1,Casino-Investment,0.7492552684940942,32153.99004373753,4,2025-03-22 12:36:11.088289,New,Medium,Unassigned,,2025-03-24 12:36:11.088289,,,
CASE-0015,CASINO-22,CASINO-22-4,Casino-Investment,0.837337647856979,34365.382068896935,4,2025-03-22 12:36:11.092764,New,Medium,John Smith,,2025-03-24 12:36:11.092764,,,
CASE-0016,CASINO-23,CASINO-23-5,Casino-Investment,0.8303021514268347,41418.413157556504,5,2025-03-23 12:36:11.111898,Under Investigation,Medium,Michael Chen,,2025-03-25 12:36:11.111898,,,
CASE-0017,CASINO-24,CASINO-24-3,Casino-Investment,0.7378983732956278,25530.969296249285,4,2025-03-10 12:36:11.113897,Under Investigation,High,Michael Chen,,2025-03-12 12:36:11.113897,,,
CASE-0018,CASINO-25,CASINO-25-2,Casino-Investment,0.8325257996136572,56050.898019772765,7,2025-03-19 12:36:11.114896,Under Investigation,High,Michael Chen,,2025-03-21 12:36:11.114896,,,
CASE-0019,CASINO-26,CASINO-26-5,Casino-Investment,0.8227740295262491,52379.21285430422,7,2025-03-21 12:36:11.115892,Under Investigation,Medium,John Smith,,2025-03-23 12:36:11.115892,,,
CASE-0020,CASINO-27,CASINO-27-3,Casino-Investment,0.843917293781759,29757.81934725223,4,2025-03-18 12:36:11.116893,New,Low,John Smith,,2025-03-20 12:36:11.116893,,,
CASE-0021,CASINO-28,CASINO-28-7,Casino-Investment,0.8218337906226307,56430.975200982546,7,2025-04-05 12:36:11.117893,Under Investigation,Medium,John Smith,,2025-04-07 12:36:11.117893,,,
CASE-0022,CASINO-29,CASINO-29-5,Casino-Investment,0.8472844223161781,39804.88722851362,5,2025-03-20 12:36:11.118892,Under Investigation,Medium,Michael Chen,,2025-03-22 12:36:11.118892,,,
CASE-0023,CASINO-3,CASINO-3-2,Casino-Investment,0.805541322030559,47712.00270368534,6,2025-04-02 12:36:11.119892,Closed,Low,John Smith,,2025-04-04 12:36:11.119892,True Positive,2025-04-11 12:36:11.119892,Case True Positive. Additional documentation received and reviewed.
CASE-0024,CASINO-30,CASINO-30-4,Casino-Investment,0.7459334365720169,39189.31128744635,5,2025-03-18 12:36:11.121864,New,Medium,John Smith,,2025-03-20 12:36:11.121864,,,
CASE-0025,CASINO-31,CASINO-31-5,Casino-Investment,0.841373763239451,44312.05843509963,6,2025-03-30 12:36:11.123868,New,Medium,Emma Wilson,,2025-04-01 12:36:11.123868,,,
CASE-0026,CASINO-32,CASINO-32-3,Casino-Investment,0.8079389025473975,30277.012201121084,4,2025-03-12 12:36:11.124868,Closed,Medium,John Smith,,2025-03-14 12:36:11.124868,True Positive,2025-03-24 12:36:11.124868,Case True Positive. Referred to law enforcement.
CASE-0027,CASINO-33,CASINO-33-6,Casino-Investment,0.8166288354773137,47644.464041218605,7,2025-03-09 12:36:11.125867,Pending Review,Low,John Smith,,2025-03-11 12:36:11.125867,,,
CASE-0028,CASINO-34,CASINO-34-1,Casino-Investment,0.8129934676039692,29675.645238319263,4,2025-03-30 12:36:11.126869,New,Medium,John Smith,,2025-04-01 12:36:11.126869,,,
CASE-0029,CASINO-35,CASINO-35-5,Casino-Investment,0.7933343736565875,42764.775508077095,6,2025-03-15 12:36:11.127867,Under Investigation,Low,Emma Wilson,,2025-03-17 12:36:11.127867,,,
