transaction_id,transaction_date,transaction_amount,sector,report_type,province,year,month,day,day_of_week,amount_zscore,month_day
TX-000001,2022-04-13,8906.491082413875,Banking,ETR,Ontario,2022,4,13,2,0.2158217448141034,413
TX-000002,2022-05-02,701.9247638214931,Banking,ETR,Ontario,2022,5,2,0,-0.4967311198631037,502
TX-000003,2022-06-01,5234.013093239711,Banking,ETR,Quebec,2022,6,1,2,-0.1031268272414391,601
TX-000004,2022-07-11,59730.020480857216,Money Services,LCTR,Alberta,2022,7,11,0,4.629760283381513,711
TX-000005,2022-12-11,1476.1881149460553,Money Services,STR,Manitoba,2022,12,11,6,-0.4294876425804392,1211
TX-000006,2022-09-28,2758.005643096744,Casino,STR,Ontario,2022,9,28,2,-0.3181639337809312,928
TX-000007,2022-11-16,2859.730128027487,Real Estate,LCTR,Ontario,2022,11,16,2,-0.3093293323735469,1116
TX-000008,2022-10-01,22853.563283807744,Trust and Loan,ETR,New Brunswick,2022,10,1,5,1.4271016425025969,1001
TX-000009,2022-02-22,1107.2227327614858,Banking,LCTR,Ontario,2022,2,22,1,-0.46153166902051573,222
TX-000010,2022-09-21,140.95912111893537,Real Estate,STR,Ontario,2022,9,21,2,-0.5454500478565794,921
TX-000011,2022-01-02,2479.005064866777,Banking,LCTR,Alberta,2022,1,2,6,-0.34239466744126534,102
TX-000012,2022-08-06,2699.2269452216688,Securities,CDR,Ontario,2022,8,6,5,-0.3232687653986573,806
TX-000013,2022-09-28,377.575503127432,Banking,STR,New Brunswick,2022,9,28,2,-0.5249003107610741,928
TX-000014,2022-07-27,7336.911347854362,Securities,LCTR,Saskatchewan,2022,7,27,2,0.07950636959856719,727
TX-000015,2022-07-07,3674.7070568651607,Banking,ETR,Alberta,2022,7,7,3,-0.2385499489498113,707
TX-000016,2022-11-23,2463.8034265266274,Securities,STR,Alberta,2022,11,23,2,-0.34371490431015556,1123
TX-000017,2022-03-22,6437.90750106575,Casino,LCTR,Quebec,2022,3,22,1,0.0014293888648728606,322
TX-000018,2022-02-10,16800.94062481416,Real Estate,LCTR,Alberta,2022,2,10,3,0.9014414860720521,210
TX-000019,2022-03-03,1703.7672630057843,Money Services,LCTR,Quebec,2022,3,3,3,-0.40972277414086283,303
TX-000020,2022-08-15,522.691814061167,Money Services,ETR,Ontario,2022,8,15,0,-0.5122972018273454,815
TX-000021,2022-09-12,1256.0698458991503,Banking,ETR,British Columbia,2022,9,12,0,-0.4486045461542127,912
TX-000022,2022-06-28,128.55401786075805,Money Services,LCTR,Ontario,2022,6,28,1,-0.5465274103301083,628
TX-000023,2022-08-10,618.5600514977341,Money Services,LCTR,British Columbia,2022,8,10,2,-0.5039712057217157,810
TX-000024,2022-01-13,325.6057397473389,Banking,STR,Quebec,2022,1,13,3,-0.5294137978041572,113
TX-000025,2022-02-14,1504.8396181968426,Banking,LCTR,British Columbia,2022,2,14,0,-0.4269993074356074,214
TX-000026,2022-12-06,14407.987983307548,Securities,ETR,Quebec,2022,12,6,1,0.6936175507741578,1206
TX-000027,2022-08-19,15839.651739741694,Banking,LCTR,Alberta,2022,8,19,4,0.8179551539196098,819
TX-000028,2022-08-21,1565.1537681048876,Banking,LCTR,Ontario,2022,8,21,6,-0.4217611243764787,821
TX-000029,2022-08-13,523.9882808406571,Banking,CDR,New Brunswick,2022,8,13,5,-0.5121846058555644,813
TX-000030,2022-04-06,3863.445721614287,Securities,STR,Manitoba,2022,4,6,2,-0.2221583115347317,406
TX-000031,2022-09-25,1230.2340608008367,Securities,LCTR,Manitoba,2022,9,25,6,-0.4508483408860891,925
