transaction_id,transaction_date,transaction_amount,sector,report_type,province
TX-000001,2022-04-13,8906.491082413875,Banking,ETR,Ontario
TX-000002,2022-05-02,701.9247638214931,Banking,ETR,Ontario
TX-000003,2022-06-01,5234.013093239711,Banking,ETR,Quebec
TX-000004,2022-07-11,59730.020480857216,Money Services,LCTR,Alberta
TX-000005,2022-12-11,1476.1881149460553,Money Services,STR,Manitoba
TX-000006,2022-09-28,2758.005643096744,Casino,STR,Ontario
TX-000007,2022-11-16,2859.730128027487,Real Estate,LCTR,Ontario
TX-000008,2022-10-01,22853.563283807744,Trust and Loan,ETR,New Brunswick
TX-000009,2022-02-22,1107.2227327614858,Banking,LCTR,Ontario
TX-000010,2022-09-21,140.95912111893537,Real Estate,STR,Ontario
TX-000011,2022-01-02,2479.005064866777,Banking,LCTR,Alberta
TX-000012,2022-08-06,2699.2269452216688,Securities,CDR,Ontario
TX-000013,2022-09-28,377.57550312743194,Banking,STR,New Brunswick
TX-000014,2022-07-27,7336.911347854362,Securities,LCTR,Saskatchewan
TX-000015,2022-07-07,3674.7070568651607,Banking,ETR,Alberta
TX-000016,2022-11-23,2463.8034265266274,Securities,STR,Alberta
TX-000017,2022-03-22,6437.90750106575,Casino,LCTR,Quebec
TX-000018,2022-02-10,16800.94062481416,Real Estate,LCTR,Alberta
TX-000019,2022-03-03,1703.7672630057843,Money Services,LCTR,Quebec
TX-000020,2022-08-15,522.691814061167,Money Services,ETR,Ontario
TX-000021,2022-09-12,1256.0698458991503,Banking,ETR,British Columbia
TX-000022,2022-06-28,128.55401786075805,Money Services,LCTR,Ontario
TX-000023,2022-08-10,618.5600514977341,Money Services,LCTR,British Columbia
TX-000024,2022-01-13,325.6057397473389,Banking,STR,Quebec
TX-000025,2022-02-14,1504.8396181968426,Banking,LCTR,British Columbia
TX-000026,2022-12-06,14407.987983307548,Securities,ETR,Quebec
TX-000027,2022-08-19,15839.651739741694,Banking,LCTR,Alberta
TX-000028,2022-08-21,1565.1537681048876,Banking,LCTR,Ontario
TX-000029,2022-08-13,523.9882808406571,Banking,CDR,New Brunswick
TX-000030,2022-04-06,3863.445721614287,Securities,STR,Manitoba
TX-000031,2022-09-25,1230.2340608008367,Securities,LCTR,Manitoba
TX-000032,2022-03-22,1321.566432167378,Trust and Loan,LCTR,Alberta
TX-000033,2022-08-12,16000.856334717586,Banking,STR,Ontario
TX-000034,2022-06-09,3798.6133943657687,Securities,STR,Newfoundland and Labrador
TX-000035,2022-09-12,9157.40994525758,Securities,CDR,Newfoundland and Labrador
TX-000036,2022-08-28,8973.895737284241,Banking,LCTR,Ontario
TX-000037,2022-09-16,4297.668111344257,Money Services,STR,Ontario
TX-000038,2022-05-27,1870.7592433763764,Banking,CDR,Newfoundland and Labrador
TX-000039,2022-02-08,20166.21592205377,Banking,LCTR,British Columbia
TX-000040,2022-05-31,3659.806687585405,Money Services,STR,British Columbia
TX-000041,2022-04-22,3827.2051231606797,Securities,STR,Alberta
TX-000042,2022-05-20,3865.8489766253124,Real Estate,STR,Manitoba
TX-000043,2022-05-27,6783.080484057174,Real Estate,ETR,Prince Edward Island
