transaction_id,transaction_date,transaction_amount,province,sector,report_type,ml_pattern,pattern_id,is_suspicious,risk_score
TBML-1-1,2023-10-27,1876755.1151671177,Quebec,Securities,STR,TBML,TBML-1,1,0.8556109365652067
TBML-1-2,2023-10-29,371678.6242797016,Quebec,Securities,STR,TBML,TBML-1,1,0.7956006240391373
TBML-1-3,2023-10-31,2422417.8448384926,Quebec,Securities,STR,TBML,TBML-1,1,0.9497306271158332
TBML-1-4,2023-11-02,486592.23723192257,Quebec,Securities,STR,TBML,TBML-1,1,0.9051134844809221
TBML-2-1,2023-08-05,4924704.044190967,Nova Scotia,Securities,STR,TBML,TBML-2,1,0.894023571554581
TBML-2-2,2023-08-07,619501.6985785052,Nova Scotia,Securities,STR,TBML,TBML-2,1,0.7512394155580702
TBML-2-3,2023-08-09,5612707.843791439,Nova Scotia,Securities,STR,TBML,TBML-2,1,0.8732967509468486
TBML-2-4,2023-08-11,994211.1115170834,Nova Scotia,Securities,STR,TBML,TBML-2,1,0.7917440933491124
TBML-2-5,2023-08-13,2969072.194306013,Nova Scotia,Securities,STR,TBML,TBML-2,1,0.7922839769910337
TBML-3-1,2023-09-14,4933397.01812754,Quebec,Securities,STR,TBML,TBML-3,1,0.8002003077155058
TBML-3-2,2023-09-16,809335.5991857547,Quebec,Securities,STR,TBML,TBML-3,1,0.9437856748465252
TBML-3-3,2023-09-18,4806112.324070309,Quebec,Securities,STR,TBML,TBML-3,1,0.7947024886928
TBML-4-1,2023-03-23,3098423.5474299565,Ontario,Securities,STR,TBML,TBML-4,1,0.7239528949141992
TBML-4-2,2023-03-25,927334.2928942351,Ontario,Securities,STR,TBML,TBML-4,1,0.8470256110794256
TBML-4-3,2023-03-27,4044319.8929677573,Ontario,Securities,STR,TBML,TBML-4,1,0.7816126926043757
TBML-4-4,2023-03-29,1052096.2972638193,Ontario,Securities,STR,TBML,TBML-4,1,0.70052037808748
TBML-4-5,2023-03-31,5582165.807359193,Ontario,Securities,STR,TBML,TBML-4,1,0.7580197720470054
TBML-5-1,2023-02-07,2447329.3449806557,Quebec,Securities,STR,TBML,TBML-5,1,0.8317288614737854
TBML-5-2,2023-02-09,514319.5086747776,Quebec,Securities,STR,TBML,TBML-5,1,0.8987220824503119
TBML-5-3,2023-02-11,1782885.0942660447,Quebec,Securities,STR,TBML,TBML-5,1,0.9455188774918646
TBML-6-1,2023-11-06,5502942.56803054,British Columbia,Securities,STR,TBML,TBML-6,1,0.8084887300623794
TBML-6-2,2023-11-08,1025560.5491627363,British Columbia,Securities,STR,TBML,TBML-6,1,0.9418797969513102
TBML-6-3,2023-11-10,5761709.124600028,British Columbia,Securities,STR,TBML,TBML-6,1,0.812455818929488
TBML-6-4,2023-11-12,1237923.2981186088,British Columbia,Securities,STR,TBML,TBML-6,1,0.7754950567384841
TBML-6-5,2023-11-14,3986757.1747112,British Columbia,Securities,STR,TBML,TBML-6,1,0.7412054707475565
TBML-7-1,2023-10-02,2338237.8239076324,Ontario,Securities,STR,TBML,TBML-7,1,0.8007274040904131
TBML-7-2,2023-10-04,568857.5709415139,Ontario,Securities,STR,TBML,TBML-7,1,0.9468400511338335
TBML-7-3,2023-10-06,3520400.93208886,Ontario,Securities,STR,TBML,TBML-7,1,0.796991583345956
TBML-7-4,2023-10-08,842722.1172176001,Ontario,Securities,STR,TBML,TBML-7,1,0.7856588479070428
TBML-8-1,2023-06-30,2954370.8671886604,Quebec,Securities,STR,TBML,TBML-8,1,0.7665780788994936
TBML-8-2,2023-07-02,804995.858656479,Quebec,Securities,STR,TBML,TBML-8,1,0.9448161495083045
TBML-8-3,2023-07-04,3312769.062607427,Quebec,Securities,STR,TBML,TBML-8,1,0.9344092425791451
TBML-8-4,2023-07-06,1011818.144379073,Quebec,Securities,STR,TBML,TBML-8,1,0.7634406530862486
TBML-9-1,2023-08-18,2099421.7106300285,British Columbia,Securities,STR,TBML,TBML-9,1,0.9484245075317895
TBML-9-2,2023-08-20,767597.0328553444,British Columbia,Securities,STR,TBML,TBML-9,1,0.8094235095561779
TBML-9-3,2023-08-22,3099768.9164865073,British Columbia,Securities,STR,TBML,TBML-9,1,0.7218932043165575
TBML-10-1,2023-07-26,4537519.876600501,Nova Scotia,Securities,STR,TBML,TBML-10,1,0.8378667196843174
TBML-10-2,2023-07-28,931293.2589823961,Nova Scotia,Securities,STR,TBML,TBML-10,1,0.7369193094596439
TBML-10-3,2023-07-30,3909312.580831084,Nova Scotia,Securities,STR,TBML,TBML-10,1,0.7617462294277579
TBML-11-1,2023-06-15,2109204.300600967,Ontario,Securities,STR,TBML,TBML-11,1,0.7547162207738538
TBML-11-2,2023-06-17,353212.6533793697,Ontario,Securities,STR,TBML,TBML-11,1,0.9149855593104714
TBML-11-3,2023-06-19,2754699.4617492897,Ontario,Securities,STR,TBML,TBML-11,1,0.720003651956747
TBML-11-4,2023-06-21,572195.7064724787,Ontario,Securities,STR,TBML,TBML-11,1,0.8133278841068226
TBML-11-5,2023-06-23,1967388.9745680105,Ontario,Securities,STR,TBML,TBML-11,1,0.8723528273869552
TBML-12-1,2023-12-15,1459242.8244873784,British Columbia,Securities,STR,TBML,TBML-12,1,0.7085123453883906
TBML-12-2,2023-12-17,351821.8131711344,British Columbia,Securities,STR,TBML,TBML-12,1,0.8186296333785349
TBML-12-3,2023-12-19,2137684.162905126,British Columbia,Securities,STR,TBML,TBML-12,1,0.7814153313731491
TBML-12-4,2023-12-21,310188.63717040705,British Columbia,Securities,STR,TBML,TBML-12,1,0.7576549423134014
TBML-12-5,2023-12-23,2328996.6908845115,British Columbia,Securities,STR,TBML,TBML-12,1,0.7511801016043421
TBML-13-1,2023-06-03,1685533.4881295979,British Columbia,Securities,STR,TBML,TBML-13,1,0.7873707443060035
TBML-13-2,2023-06-05,599472.1250195135,British Columbia,Securities,STR,TBML,TBML-13,1,0.875686643622269
TBML-13-3,2023-06-07,3089514.5306655057,British Columbia,Securities,STR,TBML,TBML-13,1,0.813410307860927
TBML-13-4,2023-06-09,579617.2167452949,British Columbia,Securities,STR,TBML,TBML-13,1,0.8347977176806329
TBML-14-1,2023-01-07,4638164.59203795,Ontario,Securities,STR,TBML,TBML-14,1,0.7049717544886079
TBML-14-2,2023-01-09,663031.9163715929,Ontario,Securities,STR,TBML,TBML-14,1,0.9084976314423606
TBML-14-3,2023-01-11,5314505.370269483,Ontario,Securities,STR,TBML,TBML-14,1,0.9365039013170905
TBML-15-1,2023-12-14,1807888.9828998412,British Columbia,Securities,STR,TBML,TBML-15,1,0.8112613208287163
TBML-15-2,2023-12-16,820109.3148931208,British Columbia,Securities,STR,TBML,TBML-15,1,0.8675266989305666
TBML-15-3,2023-12-18,3113235.7947092024,British Columbia,Securities,STR,TBML,TBML-15,1,0.7297513476795656
TBML-15-4,2023-12-20,577009.7228153602,British Columbia,Securities,STR,TBML,TBML-15,1,0.7715557752564284
TBML-15-5,2023-12-22,3350845.964612615,British Columbia,Securities,STR,TBML,TBML-15,1,0.7453231180034781
TBML-16-1,2023-01-08,3489528.503165825,Quebec,Securities,STR,TBML,TBML-16,1,0.75786329282991
TBML-16-2,2023-01-10,573193.4363076151,Quebec,Securities,STR,TBML,TBML-16,1,0.8980210741434881
TBML-16-3,2023-01-12,2913409.4259256604,Quebec,Securities,STR,TBML,TBML-16,1,0.8005293464119893
TBML-16-4,2023-01-14,396287.7916102561,Quebec,Securities,STR,TBML,TBML-16,1,0.8883463560039023
TBML-16-5,2023-01-16,3760147.4718117877,Quebec,Securities,STR,TBML,TBML-16,1,0.8550717523721274
TBML-17-1,2023-09-26,5035152.1597803235,Quebec,Securities,STR,TBML,TBML-17,1,0.8044951018940625
TBML-17-2,2023-09-28,1271910.9780630395,Quebec,Securities,STR,TBML,TBML-17,1,0.7671440452003817
TBML-17-3,2023-09-30,3846660.9824675005,Quebec,Securities,STR,TBML,TBML-17,1,0.8874285433216995
TBML-17-4,2023-10-02,733208.1408327236,Quebec,Securities,STR,TBML,TBML-17,1,0.828843617489887
TBML-17-5,2023-10-04,4836032.77651471,Quebec,Securities,STR,TBML,TBML-17,1,0.860991941535587
TBML-18-1,2023-05-12,3175820.4192543463,Ontario,Securities,STR,TBML,TBML-18,1,0.9065117966343115
TBML-18-2,2023-05-14,507690.4554505749,Ontario,Securities,STR,TBML,TBML-18,1,0.8878914967608618
TBML-18-3,2023-05-16,3589821.4726097044,Ontario,Securities,STR,TBML,TBML-18,1,0.8806613598952171
TBML-18-4,2023-05-18,682777.4288806795,Ontario,Securities,STR,TBML,TBML-18,1,0.7988846869344344
TBML-18-5,2023-05-20,2843187.031234584,Ontario,Securities,STR,TBML,TBML-18,1,0.8834521784855601
TBML-19-1,2023-05-28,3962996.8654279113,Ontario,Securities,STR,TBML,TBML-19,1,0.7153771852920704
TBML-19-2,2023-05-30,990714.0672423124,Ontario,Securities,STR,TBML,TBML-19,1,0.724162984895476
TBML-19-3,2023-06-01,3261282.9123611725,Ontario,Securities,STR,TBML,TBML-19,1,0.840052386009449
TBML-20-1,2023-08-05,2770404.648308297,Ontario,Securities,STR,TBML,TBML-20,1,0.7702662872366838
TBML-20-2,2023-08-07,638234.8019384354,Ontario,Securities,STR,TBML,TBML-20,1,0.94094767861602
TBML-20-3,2023-08-09,1634969.775512341,Ontario,Securities,STR,TBML,TBML-20,1,0.9436249708156957
TBML-20-4,2023-08-11,318089.24270814046,Ontario,Securities,STR,TBML,TBML-20,1,0.7546419466531304
TBML-21-1,2023-09-30,2867120.810642384,Quebec,Securities,STR,TBML,TBML-21,1,0.8736062373809121
TBML-21-2,2023-10-02,847355.55783118,Quebec,Securities,STR,TBML,TBML-21,1,0.8958378500310611
TBML-21-3,2023-10-04,2263787.4381872825,Quebec,Securities,STR,TBML,TBML-21,1,0.7757477326660887
TBML-22-1,2023-01-05,1334840.0813366007,Ontario,Securities,STR,TBML,TBML-22,1,0.7769484618457287
TBML-22-2,2023-01-07,206206.23024829113,Ontario,Securities,STR,TBML,TBML-22,1,0.7885421849165981
TBML-22-3,2023-01-09,1144552.6912998694,Ontario,Securities,STR,TBML,TBML-22,1,0.8074278449155973
TBML-22-4,2023-01-11,258832.36357370735,Ontario,Securities,STR,TBML,TBML-22,1,0.905528559923299
TBML-23-1,2023-10-18,2041296.1262176533,Quebec,Securities,STR,TBML,TBML-23,1,0.8957241921680836
TBML-23-2,2023-10-20,595540.5133280762,Quebec,Securities,STR,TBML,TBML-23,1,0.8995713191621226
TBML-23-3,2023-10-22,2891607.990865695,Quebec,Securities,STR,TBML,TBML-23,1,0.898889374598696
TBML-23-4,2023-10-24,456873.68356382375,Quebec,Securities,STR,TBML,TBML-23,1,0.905377129224523
TBML-23-5,2023-10-26,2232859.532740224,Quebec,Securities,STR,TBML,TBML-23,1,0.7694285081296413
TBML-24-1,2023-09-20,3576504.3274235404,Quebec,Securities,STR,TBML,TBML-24,1,0.9291953061952778
TBML-24-2,2023-09-22,745376.7625702737,Quebec,Securities,STR,TBML,TBML-24,1,0.832714943831801
TBML-24-3,2023-09-24,5103293.083238685,Quebec,Securities,STR,TBML,TBML-24,1,0.9345497288564025
TBML-24-4,2023-09-26,1003120.8473458644,Quebec,Securities,STR,TBML,TBML-24,1,0.7811400486187521
TBML-24-5,2023-09-28,3171823.2979558418,Quebec,Securities,STR,TBML,TBML-24,1,0.7200358388333861
TBML-25-1,2023-01-08,1508146.322827911,British Columbia,Securities,STR,TBML,TBML-25,1,0.7773233445043608
TBML-25-2,2023-01-10,312135.74984894384,British Columbia,Securities,STR,TBML,TBML-25,1,0.7590069012982062
TBML-25-3,2023-01-12,1829142.1806935673,British Columbia,Securities,STR,TBML,TBML-25,1,0.9485922440916984
TBML-26-1,2023-07-09,3767572.360690409,Nova Scotia,Securities,STR,TBML,TBML-26,1,0.7223886591859496
TBML-26-2,2023-07-11,755501.2452751457,Nova Scotia,Securities,STR,TBML,TBML-26,1,0.7555232077781406
TBML-26-3,2023-07-13,5023814.63968518,Nova Scotia,Securities,STR,TBML,TBML-26,1,0.7154645454312794
TBML-26-4,2023-07-15,616010.6690526073,Nova Scotia,Securities,STR,TBML,TBML-26,1,0.8734021486209589
TBML-26-5,2023-07-17,4489866.382462261,Nova Scotia,Securities,STR,TBML,TBML-26,1,0.8044418862108008
TBML-27-1,2023-01-28,2766094.0215573637,Nova Scotia,Securities,STR,TBML,TBML-27,1,0.8715562507964983
TBML-27-2,2023-01-30,468176.7187799182,Nova Scotia,Securities,STR,TBML,TBML-27,1,0.9089863843527026
TBML-27-3,2023-02-01,3057482.7759088464,Nova Scotia,Securities,STR,TBML,TBML-27,1,0.7585244797559998
TBML-27-4,2023-02-03,816811.7194657109,Nova Scotia,Securities,STR,TBML,TBML-27,1,0.8661992477576146
TBML-27-5,2023-02-05,2579079.9939600304,Nova Scotia,Securities,STR,TBML,TBML-27,1,0.7393818313883791
TBML-28-1,2023-06-12,1746757.626030733,Ontario,Securities,STR,TBML,TBML-28,1,0.7903610385812505
TBML-28-2,2023-06-14,478181.4713894947,Ontario,Securities,STR,TBML,TBML-28,1,0.9397616679335614
TBML-28-3,2023-06-16,2835134.6668690885,Ontario,Securities,STR,TBML,TBML-28,1,0.8923971302292141
TBML-28-4,2023-06-18,667554.4913132059,Ontario,Securities,STR,TBML,TBML-28,1,0.9495039539561148
TBML-28-5,2023-06-20,2727766.393575284,Ontario,Securities,STR,TBML,TBML-28,1,0.7198758958015344
TBML-29-1,2023-03-09,2951448.8894626526,Nova Scotia,Securities,STR,TBML,TBML-29,1,0.795832193848246
TBML-29-2,2023-03-11,561100.9178128468,Nova Scotia,Securities,STR,TBML,TBML-29,1,0.8311482719896607
TBML-29-3,2023-03-13,4103468.4956222093,Nova Scotia,Securities,STR,TBML,TBML-29,1,0.8837942125401699
TBML-30-1,2023-06-23,4232111.549843729,Quebec,Securities,STR,TBML,TBML-30,1,0.7754104616125093
TBML-30-2,2023-06-25,523729.88501773466,Quebec,Securities,STR,TBML,TBML-30,1,0.7094048693878885
TBML-30-3,2023-06-27,4246582.9108438315,Quebec,Securities,STR,TBML,TBML-30,1,0.7963597292953114
TBML-31-1,2023-09-12,2559955.08945783,Ontario,Securities,STR,TBML,TBML-31,1,0.906842227841547
TBML-31-2,2023-09-14,1006282.743579488,Ontario,Securities,STR,TBML,TBML-31,1,0.8673225595382965
TBML-31-3,2023-09-16,4356598.008372723,Ontario,Securities,STR,TBML,TBML-31,1,0.9448563489579846
TBML-31-4,2023-09-18,779631.5924050406,Ontario,Securities,STR,TBML,TBML-31,1,0.7168058087386494
TBML-31-5,2023-09-20,3616152.989363669,Ontario,Securities,STR,TBML,TBML-31,1,0.711608413847762
TBML-32-1,2023-06-21,1647055.6825228173,Nova Scotia,Securities,STR,TBML,TBML-32,1,0.8719948944113893
TBML-32-2,2023-06-23,393945.11486942566,Nova Scotia,Securities,STR,TBML,TBML-32,1,0.8012710331010408
TBML-32-3,2023-06-25,2297344.1531048235,Nova Scotia,Securities,STR,TBML,TBML-32,1,0.9429496754708013
TBML-33-1,2023-09-16,1855987.5417641362,Quebec,Securities,STR,TBML,TBML-33,1,0.9028484280861027
TBML-33-2,2023-09-18,599809.0480327066,Quebec,Securities,STR,TBML,TBML-33,1,0.7824306147069169
TBML-33-3,2023-09-20,2264837.3387952344,Quebec,Securities,STR,TBML,TBML-33,1,0.7347333073601136
TBML-33-4,2023-09-22,462196.378977675,Quebec,Securities,STR,TBML,TBML-33,1,0.9496982127138845
TBML-33-5,2023-09-24,1647995.7797020872,Quebec,Securities,STR,TBML,TBML-33,1,0.9368906599900146
TBML-34-1,2023-05-23,1400463.697439038,Nova Scotia,Securities,STR,TBML,TBML-34,1,0.7042167954337146
TBML-34-2,2023-05-25,453835.4368832154,Nova Scotia,Securities,STR,TBML,TBML-34,1,0.8610236733590464
TBML-34-3,2023-05-27,1359549.0242415834,Nova Scotia,Securities,STR,TBML,TBML-34,1,0.897786241385518
TBML-34-4,2023-05-29,322887.03840391076,Nova Scotia,Securities,STR,TBML,TBML-34,1,0.7337488923326587
TBML-34-5,2023-05-31,1641711.5893832417,Nova Scotia,Securities,STR,TBML,TBML-34,1,0.722742462106714
TBML-35-1,2023-04-04,2096046.5790987874,British Columbia,Securities,STR,TBML,TBML-35,1,0.7042485623967827
TBML-35-2,2023-04-06,408075.177694458,British Columbia,Securities,STR,TBML,TBML-35,1,0.7989708913972122
TBML-35-3,2023-04-08,1937057.5637988157,British Columbia,Securities,STR,TBML,TBML-35,1,0.8505995795486391
TBML-35-4,2023-04-10,517076.6511317564,British Columbia,Securities,STR,TBML,TBML-35,1,0.7098703236933461
TBML-35-5,2023-04-12,2062608.2962664207,British Columbia,Securities,STR,TBML,TBML-35,1,0.7048691925948034
TBML-36-1,2023-12-02,3676164.051682135,Ontario,Securities,STR,TBML,TBML-36,1,0.7312579039021556
TBML-36-2,2023-12-04,985967.2382573826,Ontario,Securities,STR,TBML,TBML-36,1,0.7939966672676013
