Year,Month,Sector,Report_Type,Province,Count,Amount,Date,Postal_Code_Prefix
2021,4,Securities Dealers,Suspicious Transaction Report,Newfoundland and Labrador,14,54477.58,2021-04-01,B2M
2023,1,Money Services Businesses,Large Cash Transaction Report,Northwest Territories,6,15190.09,2023-01-01,N4T
2015,7,Life Insurance,Large Cash Transaction Report,Nova Scotia,7,8596.86,2015-07-01,E4Y
2017,9,Banking,Suspicious Transaction Report,Northwest Territories,10,13296.63,2017-09-01,T5K
2022,12,Banking,Electronic Funds Transfer Report,Saskatchewan,8,11140.46,2022-12-01,K0Z
2017,6,Life Insurance,Suspicious Transaction Report,Quebec,9,7160.63,2017-06-01,K4K
2022,12,Securities Dealers,Large Cash Transaction Report,Manitoba,12,34831.48,2022-12-01,H4L
2017,1,Banking,Casino Disbursement Report,New Brunswick,15,1991.35,2017-01-01,G5S
2018,9,Notaries,Large Cash Transaction Report,Alberta,7,4484.94,2018-09-01,S7V
2018,7,Life Insurance,Suspicious Transaction Report,New Brunswick,8,28433.91,2018-07-01,L0H
2019,1,Money Services Businesses,Suspicious Transaction Report,Newfoundland and Labrador,9,3289.05,2019-01-01,C8M
2024,4,Life Insurance,Suspicious Transaction Report,New Brunswick,2,7179.75,2024-04-01,S6Y
2024,5,Banking,Electronic Funds Transfer Report,Saskatchewan,9,29301.55,2024-05-01,G1M
2018,2,Accountants,Suspicious Transaction Report,Quebec,10,9904.63,2018-02-01,M5G
2021,3,Notaries,Suspicious Transaction Report,New Brunswick,10,3056.51,2021-03-01,V8Z
2018,2,Money Services Businesses,Electronic Funds Transfer Report,Alberta,12,15895.33,2018-02-01,T8Y
2015,4,Money Services Businesses,Suspicious Transaction Report,Ontario,8,2000.86,2015-04-01,E5V
2019,7,Life Insurance,Large Cash Transaction Report,Yukon,4,343.05,2019-07-01,T2C
2022,5,Money Services Businesses,Large Cash Transaction Report,Manitoba,7,28432.12,2022-05-01,K8G
2020,7,Securities Dealers,Suspicious Transaction Report,British Columbia,13,18554.68,2020-07-01,V5T
2018,12,Securities Dealers,Large Cash Transaction Report,British Columbia,11,25007.41,2018-12-01,B8R
2018,1,Banking,Suspicious Transaction Report,Nova Scotia,9,16581.38,2018-01-01,V4L
2015,3,Securities Dealers,Electronic Funds Transfer Report,Nunavut,13,2802.94,2015-03-01,M7W
2024,2,Securities Dealers,Suspicious Transaction Report,Ontario,11,25088.15,2024-02-01,V3H
2015,12,Banking,Suspicious Transaction Report,British Columbia,11,25890.65,2015-12-01,N4K
2017,1,Life Insurance,Large Cash Transaction Report,Prince Edward Island,16,2492.36,2017-01-01,P5B
2018,5,Securities Dealers,Suspicious Transaction Report,Saskatchewan,10,11970.87,2018-05-01,V8C
2018,3,Money Services Businesses,Electronic Funds Transfer Report,New Brunswick,14,2968.87,2018-03-01,S7G
2016,8,Banking,Suspicious Transaction Report,Saskatchewan,10,3587.96,2016-08-01,T7M
2023,5,Securities Dealers,Suspicious Transaction Report,Northwest Territories,12,1091.5,2023-05-01,R0E
2022,5,Life Insurance,Suspicious Transaction Report,Alberta,9,6464.65,2022-05-01,A9J
2017,7,Securities Dealers,Suspicious Transaction Report,New Brunswick,8,1720.08,2017-07-01,G7T
2016,8,Money Services Businesses,Suspicious Transaction Report,Prince Edward Island,16,617.97,2016-08-01,E1A
2015,1,Life Insurance,Large Cash Transaction Report,Manitoba,6,15053.81,2015-01-01,T6R
2024,5,Securities Dealers,Electronic Funds Transfer Report,Prince Edward Island,15,19975.78,2024-05-01,G8J
2023,9,Securities Dealers,Suspicious Transaction Report,Saskatchewan,5,1982.82,2023-09-01,S4B
2019,11,Banking,Suspicious Transaction Report,Nunavut,17,61138.99,2019-11-01,Y2V
2022,12,Money Services Businesses,Electronic Funds Transfer Report,Yukon,10,31750.66,2022-12-01,A4E
2018,9,Life Insurance,Suspicious Transaction Report,Ontario,9,23201.15,2018-09-01,Y6M
2016,7,Money Services Businesses,Suspicious Transaction Report,Alberta,9,21.01,2016-07-01,T7Y
2019,4,Banking,Large Cash Transaction Report,Northwest Territories,7,54756.72,2019-04-01,N3C
2022,2,Banking,Large Cash Transaction Report,Alberta,14,35411.31,2022-02-01,A4J
2020,5,Banking,Suspicious Transaction Report,Nunavut,4,5260.48,2020-05-01,A0M
2022,4,Banking,Large Cash Transaction Report,Nunavut,10,52685.87,2022-04-01,K4E
2017,1,Securities Dealers,Large Cash Transaction Report,Manitoba,10,11734.43,2017-01-01,M0A
2019,7,Banking,Large Cash Transaction Report,Nunavut,16,1807.0,2019-07-01,K1T
2016,3,Money Services Businesses,Large Cash Transaction Report,Ontario,9,23377.63,2016-03-01,R4S
2017,6,Accountants,Large Cash Transaction Report,Alberta,11,7937.17,2017-06-01,G4M
2021,12,Banking,Suspicious Transaction Report,Northwest Territories,13,2030.44,2021-12-01,V4C
2015,5,Real Estate,Suspicious Transaction Report,Nova Scotia,9,7632.94,2015-05-01,P3P
2022,12,Money Services Businesses,Suspicious Transaction Report,Saskatchewan,7,6017.7,2022-12-01,K1C
2019,4,Real Estate,Electronic Funds Transfer Report,Prince Edward Island,9,8240.16,2019-04-01,P2J
2016,3,Banking,Large Cash Transaction Report,Manitoba,3,11415.97,2016-03-01,X6V
